l_id,r_id
www.ebay.com//59406,www.gosale.com//1182
cammarkt.com//58,www.ebay.com//42803
www.ebay.com//58621,www.gosale.com//789
www.ebay.com//24539,www.gosale.com//1099
www.ebay.com//52762,www.gosale.com//1182
www.ebay.com//47302,www.gosale.com//922
www.gosale.com//1184,www.gosale.com//960
cammarkt.com//60,www.ebay.com//52985
www.gosale.com//1109,www.gosale.com//988
cammarkt.com//186,www.gosale.com//1377
www.buzzillions.com//2566,www.ebay.com//45150
www.ebay.com//45231,www.walmart.com//800
www.buzzillions.com//2277,www.ebay.com//55387
www.ebay.com//23953,www.ebay.com//60872
www.ebay.com//53718,www.gosale.com//771
www.ebay.com//45085,www.ebay.com//47161
www.ebay.com//58693,www.gosale.com//902
cammarkt.com//219,www.ebay.com//59194
www.ebay.com//44745,www.gosale.com//1455
www.ebay.com//46287,www.henrys.com//154
www.ebay.com//24607,www.ebay.com//55177
www.ebay.com//48549,www.gosale.com//605
www.ebay.com//48176,www.gosale.com//1276
www.ebay.com//46081,www.ebay.com//54752
www.ebay.com//47727,www.ebay.com//59194
www.ebay.com//47343,www.gosale.com//766
www.ebay.com//48567,www.gosale.com//1377
www.ebay.com//45592,www.gosale.com//460
cammarkt.com//60,www.ebay.com//60422
www.buzzillions.com//2113,www.ebay.com//23907
www.ebay.com//24496,www.gosale.com//1079
buy.net//5881,www.gosale.com//540
cammarkt.com//60,www.ebay.com//53863
www.ebay.com//54173,www.gosale.com//1296
www.ebay.com//59125,www.gosale.com//495
cammarkt.com//309,www.ebay.com//44466
cammarkt.com//504,www.ebay.com//48037
www.ebay.com//47640,www.ebay.com//56712
cammarkt.com//0,www.ebay.com//55696
cammarkt.com//356,www.ebay.com//56134
www.ebay.com//44187,www.gosale.com//1209
www.ebay.com//45123,www.gosale.com//504
www.camerafarm.com.au//758,www.ebay.com//43077
www.buzzillions.com//1914,www.ebay.com//42093
cammarkt.com//408,www.ebay.com//53674
cammarkt.com//261,www.ebay.com//53523
cammarkt.com//261,www.ebay.com//44941
www.ebay.com//53949,www.ebay.com//55701
cammarkt.com//504,www.ebay.com//46481
www.buzzillions.com//2436,www.ebay.com//59119
cammarkt.com//213,www.ebay.com//56445
www.ebay.com//44634,www.ebay.com//56287
www.ebay.com//48650,www.ebay.com//54223
www.buzzillions.com//2063,www.gosale.com//586
www.gosale.com//472,www.henrys.com//134
www.ebay.com//43248,www.ebay.com//59950
www.ebay.com//55574,www.gosale.com//419
cammarkt.com//52,www.ebay.com//53973
www.ebay.com//42885,www.ebay.com//59739
cammarkt.com//48,www.ebay.com//54388
www.ebay.com//58029,www.gosale.com//849
www.ebay.com//44334,www.ebay.com//47375
cammarkt.com//288,www.gosale.com//1435
www.ebay.com//53195,www.gosale.com//488
www.ebay.com//48157,www.gosale.com//1433
www.ebay.com//47318,www.gosale.com//1484
cammarkt.com//356,www.ebay.com//46955
www.camerafarm.com.au//814,www.ebay.com//42501
www.ebay.com//47416,www.ebay.com//52700
www.ebay.com//24500,www.ebay.com//53881
cammarkt.com//219,www.ebay.com//48640
www.ebay.com//53358,www.ebay.com//54207
www.gosale.com//1473,www.gosale.com//411
www.ebay.com//43365,www.walmart.com//161
www.ebay.com//43913,www.gosale.com//1329
cammarkt.com//392,www.ebay.com//59172
cammarkt.com//262,www.ebay.com//44818
www.ebay.com//47870,www.gosale.com//1285
www.gosale.com//1404,www.gosale.com//800
www.buzzillions.com//2113,www.ebay.com//43637
www.buzzillions.com//1796,www.ebay.com//46994
www.ebay.com//55075,www.ebay.com//58037
www.ebay.com//54297,www.gosale.com//863
www.ebay.com//53403,www.ebay.com//55856
www.ebay.com//58796,www.gosale.com//1312
www.ebay.com//42145,www.gosale.com//1453
www.ebay.com//43483,www.gosale.com//766
www.ebay.com//56107,www.gosale.com//870
www.ebay.com//56061,www.gosale.com//1148
www.ebay.com//53846,www.gosale.com//937
www.ebay.com//48568,www.gosale.com//420
www.ebay.com//52792,www.gosale.com//1318
buy.net//5904,www.ebay.com//43134
www.ebay.com//56160,www.walmart.com//698
www.ebay.com//43185,www.gosale.com//1328
www.gosale.com//1224,www.pcconnection.com//12195
www.buzzillions.com//2131,www.ebay.com//59971
www.ebay.com//44099,www.ebay.com//56120
www.ebay.com//44349,www.gosale.com//724
www.buzzillions.com//1943,www.ebay.com//55304
www.buzzillions.com//2271,www.gosale.com//413
www.ebay.com//53202,www.gosale.com//1260
www.ebay.com//42292,www.gosale.com//626
www.ebay.com//24345,www.gosale.com//1498
www.ebay.com//58869,www.gosale.com//848
www.ebay.com//43873,www.ebay.com//47095
www.gosale.com//774,www.gosale.com//858
www.ebay.com//43421,www.gosale.com//1437
www.ebay.com//53050,www.ebay.com//53779
www.camerafarm.com.au//807,www.ebay.com//45642
www.ebay.com//52871,www.walmart.com//787
www.ebay.com//54532,www.gosale.com//953
www.ebay.com//42114,www.gosale.com//810
www.ebay.com//60670,www.gosale.com//857
cammarkt.com//208,www.gosale.com//958
www.ebay.com//58590,www.gosale.com//616
cammarkt.com//460,www.ebay.com//44159
www.ebay.com//53112,www.ebay.com//59967
www.ebay.com//47513,www.gosale.com//783
www.ebay.com//54062,www.gosale.com//965
www.ebay.com//59716,www.gosale.com//789
www.buzzillions.com//2883,www.ebay.com//42715
cammarkt.com//288,www.ebay.com//56064
www.buzzillions.com//2614,www.ebay.com//59327
www.buzzillions.com//1798,www.ebay.com//56524
www.ebay.com//52874,www.gosale.com//943
www.ebay.com//54119,www.gosale.com//1469
cammarkt.com//0,www.ebay.com//48230
www.ebay.com//58641,www.ebay.com//59509
www.ebay.com//43785,www.gosale.com//1355
www.ebay.com//47882,www.ebay.com//54787
www.ebay.com//43121,www.gosale.com//1072
www.ebay.com//42010,www.ebay.com//55768
www.ebay.com//41999,www.ebay.com//45030
www.ebay.com//42371,www.gosale.com//1362
www.ebay.com//24422,www.ebay.com//53130
cammarkt.com//50,www.ebay.com//53049
www.ebay.com//43287,www.ebay.com//60163
cammarkt.com//283,www.ebay.com//42302
www.ebay.com//55366,www.gosale.com//1021
cammarkt.com//263,www.ebay.com//45602
www.ebay.com//42714,www.gosale.com//600
www.ebay.com//57011,www.gosale.com//1262
www.ebay.com//43712,www.gosale.com//853
www.ebay.com//48313,www.ebay.com//58682
www.gosale.com//1267,www.gosale.com//964
buy.net//6156,www.ebay.com//24758
www.ebay.com//56589,www.gosale.com//952
www.ebay.com//60592,www.gosale.com//768
cammarkt.com//77,www.ebay.com//43061
www.ebay.com//54201,www.gosale.com//905
www.ebay.com//56643,www.gosale.com//832
www.ebay.com//52683,www.pcconnection.com//12404
www.ebay.com//23864,www.gosale.com//1116
cammarkt.com//373,www.ebay.com//45621
www.camerafarm.com.au//785,www.ebay.com//42802
www.ebay.com//44748,www.gosale.com//762
www.ebay.com//47727,www.ebay.com//56855
www.ebay.com//56859,www.gosale.com//1262
cammarkt.com//48,www.ebay.com//53314
buy.net//5473,www.ebay.com//44178
www.buzzillions.com//1914,www.gosale.com//751
www.ebay.com//48071,www.gosale.com//1049
cammarkt.com//310,www.ebay.com//55439
www.buzzillions.com//2351,www.gosale.com//825
www.buzzillions.com//2109,www.ebay.com//25190
www.ebay.com//54537,www.gosale.com//1328
www.ebay.com//59301,www.gosale.com//1378
www.ebay.com//47732,www.walmart.com//698
cammarkt.com//74,www.ebay.com//41881
cammarkt.com//50,www.camerafarm.com.au//764
www.ebay.com//55684,www.gosale.com//785
www.ebay.com//55388,www.gosale.com//821
www.ebay.com//42098,www.ebay.com//47727
www.ebay.com//47799,www.gosale.com//752
www.ebay.com//43123,www.ebay.com//59405
www.camerafarm.com.au//710,www.ebay.com//42834
www.ebay.com//52867,www.gosale.com//880
www.ebay.com//47232,www.gosale.com//1417
cammarkt.com//16,www.ebay.com//45705
cammarkt.com//64,www.ebay.com//45168
www.ebay.com//45721,www.gosale.com//791
www.camerafarm.com.au//810,www.ebay.com//55158
cammarkt.com//64,www.ebay.com//47100
www.ebay.com//44328,www.ebay.com//44569
www.ebay.com//54257,www.gosale.com//952
www.ebay.com//24497,www.gosale.com//853
www.camerafarm.com.au//814,www.ebay.com//54465
www.ebay.com//59449,www.gosale.com//1435
www.ebay.com//46179,www.gosale.com//810
www.camerafarm.com.au//785,www.ebay.com//42553
www.ebay.com//59873,www.walmart.com//158
www.ebay.com//53547,www.ebay.com//54163
www.ebay.com//55457,www.ebay.com//56436
www.ebay.com//45460,www.gosale.com//1025
www.ebay.com//59892,www.gosale.com//1429
cammarkt.com//60,www.ebay.com//43720
cammarkt.com//392,www.ebay.com//57198
www.ebay.com//46898,www.walmart.com//786
www.ebay.com//60530,www.gosale.com//419
www.ebay.com//44159,www.gosale.com//1455
cammarkt.com//186,www.ebay.com//47728
www.ebay.com//42141,www.gosale.com//1204
www.buzzillions.com//2576,www.ebay.com//43043
www.ebay.com//46011,www.gosale.com//1351
www.ebay.com//47527,www.ebay.com//53374
www.ebay.com//43305,www.gosale.com//1158
www.ebay.com//45388,www.gosale.com//853
www.ebay.com//42172,www.gosale.com//1429
cammarkt.com//179,www.ebay.com//60432
cammarkt.com//373,www.ebay.com//55204
www.ebay.com//53508,www.gosale.com//472
www.ebay.com//48148,www.gosale.com//982
www.gosale.com//796,www.gosale.com//938
www.ebay.com//55610,www.gosale.com//439
www.camerafarm.com.au//758,www.ebay.com//45853
www.ebay.com//42714,www.ebay.com//55998
cammarkt.com//52,www.ebay.com//44554
www.ebay.com//45779,www.ebay.com//47704
www.ebay.com//24496,www.gosale.com//566
www.ebay.com//53153,www.walmart.com//725
cammarkt.com//51,www.ebay.com//43984
www.ebay.com//54016,www.gosale.com//821
www.ebay.com//46996,www.gosale.com//1404
www.buzzillions.com//2351,www.gosale.com//538
cammarkt.com//309,www.ebay.com//44965
www.buzzillions.com//1914,www.ebay.com//44472
www.ebay.com//55013,www.ebay.com//59988
www.ebay.com//54359,www.gosale.com//1435
