l_id,r_id
altosight_217,altosight_276
altosight_034,altosight_774
altosight_398,altosight_715
altosight_054,altosight_057
altosight_713,altosight_733
altosight_373,altosight_758
altosight_485,altosight_517
altosight_000,altosight_005
altosight_576,altosight_808
altosight_721,altosight_828
altosight_587,altosight_645
altosight_036,altosight_495
altosight_134,altosight_273
altosight_139,altosight_497
altosight_334,altosight_616
altosight_001,altosight_482
altosight_757,altosight_778
altosight_291,altosight_334
altosight_291,altosight_371
altosight_039,altosight_356
altosight_391,altosight_511
altosight_327,altosight_687
altosight_450,altosight_519
altosight_097,altosight_517
altosight_527,altosight_562
altosight_094,altosight_429
altosight_090,altosight_773
altosight_066,altosight_386
altosight_648,altosight_728
altosight_239,altosight_488
altosight_166,altosight_802
altosight_053,altosight_229
altosight_628,altosight_659
altosight_017,altosight_479
altosight_030,altosight_694
altosight_644,altosight_792
altosight_122,altosight_433
altosight_262,altosight_646
altosight_455,altosight_659
altosight_415,altosight_807
altosight_290,altosight_369
altosight_121,altosight_578
altosight_382,altosight_521
altosight_092,altosight_576
altosight_347,altosight_599
altosight_393,altosight_413
altosight_099,altosight_277
altosight_206,altosight_790
altosight_331,altosight_782
altosight_347,altosight_553
altosight_442,altosight_774
altosight_094,altosight_634
altosight_133,altosight_532
altosight_127,altosight_380
altosight_139,altosight_196
altosight_321,altosight_639
altosight_148,altosight_301
altosight_199,altosight_616
altosight_098,altosight_451
altosight_192,altosight_373
altosight_229,altosight_719
altosight_233,altosight_715
altosight_266,altosight_469
altosight_562,altosight_619
altosight_219,altosight_662
altosight_635,altosight_806
altosight_288,altosight_711
altosight_300,altosight_584
altosight_606,altosight_723
altosight_373,altosight_384
altosight_449,altosight_520
altosight_327,altosight_465
altosight_013,altosight_690
altosight_077,altosight_609
altosight_242,altosight_456
altosight_043,altosight_761
altosight_051,altosight_734
altosight_033,altosight_558
altosight_465,altosight_828
altosight_336,altosight_471
altosight_542,altosight_701
altosight_802,altosight_821
altosight_359,altosight_811
altosight_202,altosight_596
altosight_575,altosight_712
altosight_192,altosight_384
altosight_007,altosight_504
altosight_105,altosight_193
altosight_432,altosight_822
altosight_211,altosight_807
altosight_384,altosight_808
altosight_264,altosight_364
altosight_301,altosight_704
altosight_663,altosight_734
altosight_705,altosight_809
altosight_055,altosight_734
altosight_188,altosight_564
altosight_049,altosight_056
altosight_084,altosight_346
altosight_117,altosight_598
altosight_021,altosight_692
altosight_495,altosight_536
altosight_054,altosight_225
altosight_099,altosight_830
altosight_069,altosight_265
altosight_534,altosight_642
altosight_227,altosight_431
altosight_282,altosight_467
altosight_407,altosight_517
altosight_061,altosight_726
altosight_367,altosight_466
altosight_681,altosight_721
altosight_209,altosight_727
altosight_069,altosight_193
altosight_137,altosight_773
altosight_257,altosight_365
altosight_128,altosight_691
altosight_638,altosight_790
altosight_351,altosight_449
altosight_425,altosight_735
altosight_225,altosight_834
altosight_683,altosight_724
altosight_734,altosight_766
altosight_415,altosight_694
altosight_064,altosight_720
altosight_587,altosight_687
altosight_123,altosight_362
altosight_315,altosight_763
altosight_273,altosight_671
altosight_047,altosight_246
altosight_260,altosight_597
altosight_159,altosight_193
altosight_041,altosight_789
altosight_315,altosight_588
altosight_304,altosight_581
altosight_190,altosight_821
altosight_415,altosight_562
altosight_053,altosight_719
altosight_559,altosight_631
altosight_074,altosight_760
altosight_396,altosight_433
altosight_596,altosight_597
altosight_422,altosight_423
altosight_449,altosight_695
altosight_333,altosight_370
altosight_206,altosight_279
altosight_576,altosight_632
altosight_479,altosight_609
altosight_369,altosight_385
altosight_219,altosight_649
