_id,name,factory,style,abv
beer_advocate_0000,Tr̦egs Nugget Nectar,Tr̦egs Brewing Company,American Amber / Red Ale,7.5
beer_advocate_0001,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.2
beer_advocate_0002,Levitation Ale,Stone Brewing Co.,American Amber / Red Ale,4.4
beer_advocate_0003,Green Flash Hop Head Red Ale,Green Flash Brewing Co.,American Amber / Red Ale,8.1
beer_advocate_0004,Tr̦egs Hopback Amber Ale,Tr̦egs Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0005,Flipside Red IPA,Sierra Nevada Brewing Co.,American Amber / Red Ale,6.2
beer_advocate_0006,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75
beer_advocate_0007,Red Rocket Ale,Bear Republic Brewing Co.,American Amber / Red Ale,6.8
beer_advocate_0008,Great Lakes Nosferatu,Great Lakes Brewing Co.,American Amber / Red Ale,8.0
beer_advocate_0009,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.8
beer_advocate_0010,Zoe,Maine Beer Company,American Amber / Red Ale,7.2
beer_advocate_0011,Santa's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.3
beer_advocate_0012,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65
beer_advocate_0013,Ruedrich's Red Seal Ale,North Coast Brewing Co.,American Amber / Red Ale,5.4
beer_advocate_0014,Boont Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,5.8
beer_advocate_0015,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.3
beer_advocate_0016,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.8
beer_advocate_0017,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.4
beer_advocate_0018,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0019,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.4
beer_advocate_0020,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.0
beer_advocate_0021,Full Sail Amber,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,5.5
beer_advocate_0022,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.1
beer_advocate_0023,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.1
beer_advocate_0024,Prohibition Ale,Speakeasy Ales & Lagers,American Amber / Red Ale,6.1
beer_advocate_0025,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.0
beer_advocate_0026,Blazing World,Modern Times Beer,American Amber / Red Ale,6.8
beer_advocate_0027,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.0
beer_advocate_0028,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0029,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.0
