l_id,r_id,label
beer_advocate_0099,rate_beer_0090,0
beer_advocate_0099,rate_beer_1698,0
beer_advocate_0099,rate_beer_2139,0
beer_advocate_1004,rate_beer_0020,1
beer_advocate_1022,rate_beer_2839,0
beer_advocate_1024,rate_beer_0037,0
beer_advocate_1030,rate_beer_0043,1
beer_advocate_1030,rate_beer_0679,0
beer_advocate_1042,rate_beer_0055,1
beer_advocate_1042,rate_beer_1403,0
beer_advocate_1060,rate_beer_1230,0
beer_advocate_0009,rate_beer_0881,0
beer_advocate_0009,rate_beer_2728,0
beer_advocate_0009,rate_beer_2883,0
beer_advocate_1118,rate_beer_2812,0
beer_advocate_0113,rate_beer_0475,0
beer_advocate_0113,rate_beer_2975,0
beer_advocate_1157,rate_beer_0155,1
beer_advocate_1178,rate_beer_0698,0
beer_advocate_1178,rate_beer_1255,0
beer_advocate_1178,rate_beer_1414,0
beer_advocate_1178,rate_beer_1889,0
beer_advocate_1185,rate_beer_2991,0
beer_advocate_1207,rate_beer_0558,0
beer_advocate_1207,rate_beer_1604,0
beer_advocate_1218,rate_beer_1445,0
beer_advocate_1218,rate_beer_2463,0
beer_advocate_1218,rate_beer_2618,0
beer_advocate_1219,rate_beer_0730,0
beer_advocate_1219,rate_beer_2463,0
beer_advocate_1219,rate_beer_2470,0
beer_advocate_0120,rate_beer_0213,1
beer_advocate_1226,rate_beer_1911,0
beer_advocate_1237,rate_beer_1862,0
beer_advocate_1249,rate_beer_0583,0
beer_advocate_1251,rate_beer_0812,0
beer_advocate_1281,rate_beer_0704,0
beer_advocate_1289,rate_beer_2622,0
beer_advocate_0128,rate_beer_1230,0
beer_advocate_1322,rate_beer_1308,0
beer_advocate_1375,rate_beer_2610,0
beer_advocate_1394,rate_beer_0358,1
beer_advocate_0138,rate_beer_0090,0
beer_advocate_0138,rate_beer_0646,0
beer_advocate_0138,rate_beer_1255,0
beer_advocate_0138,rate_beer_1496,0
beer_advocate_0138,rate_beer_1635,0
beer_advocate_0138,rate_beer_1638,0
beer_advocate_1433,rate_beer_0418,0
beer_advocate_1433,rate_beer_1261,0
beer_advocate_1436,rate_beer_1069,0
beer_advocate_0141,rate_beer_2672,0
beer_advocate_0141,rate_beer_2991,0
beer_advocate_1456,rate_beer_0409,1
beer_advocate_1458,rate_beer_0646,0
beer_advocate_1458,rate_beer_1414,0
beer_advocate_1458,rate_beer_1496,0
beer_advocate_1458,rate_beer_1551,0
beer_advocate_1458,rate_beer_1679,0
beer_advocate_1460,rate_beer_0412,1
beer_advocate_1466,rate_beer_0972,0
beer_advocate_1471,rate_beer_1165,0
beer_advocate_1474,rate_beer_0427,1
beer_advocate_1479,rate_beer_1563,0
beer_advocate_1491,rate_beer_0865,0
beer_advocate_1501,rate_beer_2750,0
beer_advocate_1515,rate_beer_0716,0
beer_advocate_1522,rate_beer_0467,1
beer_advocate_1524,rate_beer_0284,0
beer_advocate_1524,rate_beer_1445,0
beer_advocate_1524,rate_beer_1682,0
beer_advocate_1587,rate_beer_1496,0
beer_advocate_1587,rate_beer_1534,0
beer_advocate_1587,rate_beer_1911,0
beer_advocate_1599,rate_beer_2975,0
beer_advocate_1604,rate_beer_0213,0
beer_advocate_1621,rate_beer_0012,0
beer_advocate_1621,rate_beer_0548,1
beer_advocate_1621,rate_beer_1853,0
beer_advocate_1621,rate_beer_2601,0
beer_advocate_1647,rate_beer_2409,0
beer_advocate_1648,rate_beer_0571,1
beer_advocate_1649,rate_beer_2313,0
beer_advocate_1661,rate_beer_0351,0
