l_id,r_id
beer_advocate_1004,rate_beer_0020
beer_advocate_1030,rate_beer_0043
beer_advocate_1042,rate_beer_0055
beer_advocate_1157,rate_beer_0155
beer_advocate_0120,rate_beer_0213
beer_advocate_1394,rate_beer_0358
beer_advocate_1456,rate_beer_0409
beer_advocate_1460,rate_beer_0412
beer_advocate_1474,rate_beer_0427
beer_advocate_1522,rate_beer_0467
beer_advocate_1621,rate_beer_0548
beer_advocate_1648,rate_beer_0571
beer_advocate_1672,rate_beer_0590
beer_advocate_1748,rate_beer_0652
beer_advocate_1780,rate_beer_0685
beer_advocate_1842,rate_beer_0737
beer_advocate_1850,rate_beer_0742
beer_advocate_1914,rate_beer_0793
beer_advocate_0190,rate_beer_0805
beer_advocate_1931,rate_beer_0810
beer_advocate_2007,rate_beer_0203
beer_advocate_2163,rate_beer_0985
beer_advocate_2175,rate_beer_0996
beer_advocate_2242,rate_beer_1048
beer_advocate_2289,rate_beer_1085
beer_advocate_2362,rate_beer_1136
beer_advocate_2463,rate_beer_1206
beer_advocate_2491,rate_beer_1230
beer_advocate_2506,rate_beer_1242
beer_advocate_2558,rate_beer_1284
beer_advocate_2606,rate_beer_1320
beer_advocate_2689,rate_beer_1373
beer_advocate_2700,rate_beer_1380
beer_advocate_2722,rate_beer_1393
beer_advocate_0271,rate_beer_1410
beer_advocate_2764,rate_beer_1423
beer_advocate_2867,rate_beer_1493
beer_advocate_2909,rate_beer_1529
beer_advocate_0294,rate_beer_1586
beer_advocate_2992,rate_beer_1590
beer_advocate_3035,rate_beer_1620
beer_advocate_3073,rate_beer_1647
beer_advocate_3079,rate_beer_1650
beer_advocate_3210,rate_beer_1737
beer_advocate_3381,rate_beer_1859
beer_advocate_3468,rate_beer_1921
beer_advocate_3622,rate_beer_2020
beer_advocate_3758,rate_beer_2120
beer_advocate_3800,rate_beer_2146
beer_advocate_3802,rate_beer_2149
beer_advocate_0386,rate_beer_2204
beer_advocate_3917,rate_beer_2224
beer_advocate_4003,rate_beer_2284
beer_advocate_4063,rate_beer_2331
beer_advocate_4088,rate_beer_2351
beer_advocate_4101,rate_beer_2360
beer_advocate_4157,rate_beer_2405
beer_advocate_4161,rate_beer_2409
beer_advocate_0418,rate_beer_2441
beer_advocate_4237,rate_beer_2466
beer_advocate_4286,rate_beer_2362
beer_advocate_0480,rate_beer_2576
beer_advocate_0563,rate_beer_1177
beer_advocate_0061,rate_beer_2710
beer_advocate_0781,rate_beer_2835
beer_advocate_0862,rate_beer_2906
beer_advocate_0890,rate_beer_2580
beer_advocate_0982,rate_beer_2999
