l_id,r_id
beer_advocate_4133,rate_beer_2384
beer_advocate_2426,rate_beer_0361
beer_advocate_1624,rate_beer_0550
beer_advocate_1371,rate_beer_0335
beer_advocate_2535,rate_beer_1263
beer_advocate_0282,rate_beer_2959
beer_advocate_1262,rate_beer_0246
beer_advocate_0047,rate_beer_2587
beer_advocate_1742,rate_beer_0649
beer_advocate_2315,rate_beer_1103
beer_advocate_1223,rate_beer_0215
beer_advocate_3628,rate_beer_2022
beer_advocate_0059,rate_beer_1312
beer_advocate_3032,rate_beer_1618
beer_advocate_2470,rate_beer_1213
beer_advocate_0103,rate_beer_0056
beer_advocate_0581,rate_beer_2674
beer_advocate_2083,rate_beer_0922
beer_advocate_0688,rate_beer_2756
beer_advocate_2085,rate_beer_0923
beer_advocate_3463,rate_beer_1917
beer_advocate_0025,rate_beer_1355
beer_advocate_4077,rate_beer_2341
beer_advocate_2274,rate_beer_1075
beer_advocate_1338,rate_beer_0305
beer_advocate_0444,rate_beer_2546
beer_advocate_1906,rate_beer_0787
beer_advocate_4132,rate_beer_2383
beer_advocate_3835,rate_beer_0234
beer_advocate_0665,rate_beer_2736
beer_advocate_1097,rate_beer_0101
beer_advocate_0438,rate_beer_2541
beer_advocate_2224,rate_beer_1033
beer_advocate_4343,rate_beer_2534
beer_advocate_1407,rate_beer_0367
beer_advocate_4126,rate_beer_2379
beer_advocate_0681,rate_beer_2750
beer_advocate_1785,rate_beer_0689
beer_advocate_1188,rate_beer_1142
beer_advocate_3997,rate_beer_2280
beer_advocate_1098,rate_beer_0102
beer_advocate_0328,rate_beer_1817
beer_advocate_4069,rate_beer_1153
beer_advocate_0161,rate_beer_1720
beer_advocate_1938,rate_beer_0816
beer_advocate_3654,rate_beer_2042
beer_advocate_0923,rate_beer_2954
beer_advocate_3343,rate_beer_1830
beer_advocate_3571,rate_beer_1986
beer_advocate_2480,rate_beer_1221
beer_advocate_2128,rate_beer_0957
beer_advocate_0390,rate_beer_2233
beer_advocate_3523,rate_beer_1956
beer_advocate_0997,rate_beer_0016
beer_advocate_1463,rate_beer_0949
beer_advocate_1394,rate_beer_0358
beer_advocate_4114,rate_beer_2369
beer_advocate_2339,rate_beer_1120
beer_advocate_0815,rate_beer_2866
beer_advocate_0840,rate_beer_2888
beer_advocate_4197,rate_beer_2439
beer_advocate_3286,rate_beer_1796
beer_advocate_3731,rate_beer_2102
beer_advocate_3010,rate_beer_1599
beer_advocate_1840,rate_beer_0736
beer_advocate_1109,rate_beer_0110
beer_advocate_3948,rate_beer_2245
beer_advocate_3582,rate_beer_1993
beer_advocate_3437,rate_beer_2630
beer_advocate_3658,rate_beer_2045
beer_advocate_0013,rate_beer_2937
beer_advocate_0926,rate_beer_2957
beer_advocate_0074,rate_beer_1714
beer_advocate_2947,rate_beer_1561
beer_advocate_3019,rate_beer_1607
beer_advocate_3491,rate_beer_1933
beer_advocate_1077,rate_beer_0085
beer_advocate_3599,rate_beer_2004
beer_advocate_0299,rate_beer_1617
beer_advocate_3798,rate_beer_1911
beer_advocate_2242,rate_beer_1048
beer_advocate_1842,rate_beer_0737
beer_advocate_1083,rate_beer_0092
beer_advocate_1958,rate_beer_0832
beer_advocate_0856,rate_beer_2902
beer_advocate_3965,rate_beer_2257
beer_advocate_2290,rate_beer_1086
beer_advocate_3749,rate_beer_2113
beer_advocate_0284,rate_beer_1720
beer_advocate_1378,rate_beer_0342
beer_advocate_0142,rate_beer_0404
beer_advocate_0989,rate_beer_0008
beer_advocate_0594,rate_beer_2360
beer_advocate_2351,rate_beer_1130
beer_advocate_2482,rate_beer_1223
beer_advocate_2995,rate_beer_1592
beer_advocate_2311,rate_beer_1101
beer_advocate_1786,rate_beer_0690
beer_advocate_1455,rate_beer_0408
beer_advocate_0943,rate_beer_2968
beer_advocate_2414,rate_beer_1171
beer_advocate_1191,rate_beer_0187
beer_advocate_0667,rate_beer_2738
beer_advocate_1389,rate_beer_0352
beer_advocate_4191,rate_beer_2436
beer_advocate_1933,rate_beer_0346
beer_advocate_2269,rate_beer_1071
beer_advocate_0232,rate_beer_1128
beer_advocate_1406,rate_beer_0366
beer_advocate_3648,rate_beer_2036
beer_advocate_2401,rate_beer_1165
beer_advocate_2296,rate_beer_1088
beer_advocate_0334,rate_beer_1854
beer_advocate_0337,rate_beer_1874
beer_advocate_0072,rate_beer_2799
beer_advocate_4081,rate_beer_2346
beer_advocate_0791,rate_beer_2845
beer_advocate_3790,rate_beer_2138
beer_advocate_4062,rate_beer_2330
beer_advocate_2642,rate_beer_1341
beer_advocate_2018,rate_beer_0879
beer_advocate_3894,rate_beer_2348
beer_advocate_1605,rate_beer_0534
beer_advocate_2197,rate_beer_1013
beer_advocate_2946,rate_beer_1560
beer_advocate_2663,rate_beer_1157
beer_advocate_0162,rate_beer_0572
beer_advocate_1397,rate_beer_0360
beer_advocate_2495,rate_beer_1234
beer_advocate_4166,rate_beer_2414
beer_advocate_0698,rate_beer_2765
beer_advocate_2380,rate_beer_1154
beer_advocate_2464,rate_beer_1207
beer_advocate_1309,rate_beer_1717
beer_advocate_1134,rate_beer_0133
beer_advocate_2547,rate_beer_1276
beer_advocate_3898,rate_beer_2208
beer_advocate_0460,rate_beer_2560
beer_advocate_0801,rate_beer_2855
beer_advocate_3144,rate_beer_1693
beer_advocate_1217,rate_beer_0210
beer_advocate_1379,rate_beer_0343
beer_advocate_0599,rate_beer_2689
beer_advocate_0058,rate_beer_2291
beer_advocate_3728,rate_beer_2100
beer_advocate_1451,rate_beer_0405
beer_advocate_1838,rate_beer_0734
beer_advocate_4016,rate_beer_1912
beer_advocate_1441,rate_beer_0395
beer_advocate_1189,rate_beer_0185
beer_advocate_2924,rate_beer_1544
