l_id,r_id
beer_advocate_4133,rate_beer_2384
beer_advocate_1624,rate_beer_0550
beer_advocate_3604,rate_beer_1268
beer_advocate_1371,rate_beer_0335
beer_advocate_2535,rate_beer_1263
beer_advocate_0282,rate_beer_2959
beer_advocate_1262,rate_beer_0246
beer_advocate_0047,rate_beer_2587
beer_advocate_1742,rate_beer_0649
beer_advocate_1223,rate_beer_0215
beer_advocate_3628,rate_beer_2022
beer_advocate_0059,rate_beer_1312
beer_advocate_3032,rate_beer_1618
beer_advocate_2470,rate_beer_1213
beer_advocate_0103,rate_beer_0056
beer_advocate_2083,rate_beer_0922
beer_advocate_0688,rate_beer_2756
beer_advocate_2085,rate_beer_0923
beer_advocate_3463,rate_beer_1917
beer_advocate_0025,rate_beer_1355
beer_advocate_4077,rate_beer_2341
beer_advocate_2274,rate_beer_1075
beer_advocate_0444,rate_beer_2546
beer_advocate_1906,rate_beer_0787
beer_advocate_4132,rate_beer_2383
beer_advocate_0665,rate_beer_2736
beer_advocate_0748,rate_beer_2808
beer_advocate_1097,rate_beer_0101
beer_advocate_0438,rate_beer_2541
beer_advocate_2224,rate_beer_1033
beer_advocate_4343,rate_beer_2534
beer_advocate_1407,rate_beer_0367
beer_advocate_0405,rate_beer_2342
beer_advocate_4126,rate_beer_2379
beer_advocate_1785,rate_beer_0689
beer_advocate_3997,rate_beer_2280
beer_advocate_1098,rate_beer_0102
beer_advocate_0328,rate_beer_1817
beer_advocate_2477,rate_beer_1217
beer_advocate_4069,rate_beer_1153
beer_advocate_1938,rate_beer_0816
beer_advocate_3654,rate_beer_2042
beer_advocate_3571,rate_beer_1986
beer_advocate_2480,rate_beer_1221
beer_advocate_2128,rate_beer_0957
beer_advocate_0390,rate_beer_2233
beer_advocate_3523,rate_beer_1956
beer_advocate_0997,rate_beer_0016
beer_advocate_1463,rate_beer_0949
beer_advocate_1394,rate_beer_0358
beer_advocate_4114,rate_beer_2369
beer_advocate_0840,rate_beer_2888
beer_advocate_3286,rate_beer_1796
beer_advocate_3731,rate_beer_2102
beer_advocate_3010,rate_beer_1599
beer_advocate_2261,rate_beer_1065
beer_advocate_1109,rate_beer_0110
beer_advocate_3948,rate_beer_2245
beer_advocate_3582,rate_beer_1993
beer_advocate_3437,rate_beer_2630
beer_advocate_3658,rate_beer_2045
beer_advocate_0926,rate_beer_2957
beer_advocate_0074,rate_beer_1714
beer_advocate_2947,rate_beer_1561
beer_advocate_3019,rate_beer_1607
beer_advocate_3491,rate_beer_1933
beer_advocate_1077,rate_beer_0085
beer_advocate_3599,rate_beer_2004
beer_advocate_0299,rate_beer_1617
beer_advocate_2242,rate_beer_1048
beer_advocate_1842,rate_beer_0737
beer_advocate_1958,rate_beer_0832
beer_advocate_0856,rate_beer_2902
beer_advocate_2180,rate_beer_0999
beer_advocate_2290,rate_beer_1086
beer_advocate_3749,rate_beer_2113
beer_advocate_1378,rate_beer_0342
beer_advocate_0142,rate_beer_0404
beer_advocate_0989,rate_beer_0008
beer_advocate_0594,rate_beer_2360
beer_advocate_2482,rate_beer_1223
beer_advocate_2995,rate_beer_1592
beer_advocate_2311,rate_beer_1101
beer_advocate_1336,rate_beer_2085
beer_advocate_0943,rate_beer_2968
beer_advocate_2414,rate_beer_1171
beer_advocate_1191,rate_beer_0187
beer_advocate_0667,rate_beer_2738
beer_advocate_4191,rate_beer_2436
beer_advocate_1933,rate_beer_0346
beer_advocate_0232,rate_beer_1128
beer_advocate_3648,rate_beer_2036
beer_advocate_2401,rate_beer_1165
beer_advocate_2296,rate_beer_1088
beer_advocate_0334,rate_beer_1854
beer_advocate_0337,rate_beer_1874
beer_advocate_0072,rate_beer_2799
beer_advocate_0791,rate_beer_2845
beer_advocate_3790,rate_beer_2138
beer_advocate_4062,rate_beer_2330
beer_advocate_2642,rate_beer_1341
beer_advocate_3458,rate_beer_1708
beer_advocate_2018,rate_beer_0879
beer_advocate_3894,rate_beer_2348
beer_advocate_1605,rate_beer_0534
beer_advocate_2197,rate_beer_1013
beer_advocate_2946,rate_beer_1560
beer_advocate_2663,rate_beer_1157
beer_advocate_0162,rate_beer_0572
beer_advocate_2495,rate_beer_1234
beer_advocate_4166,rate_beer_2414
beer_advocate_0698,rate_beer_2765
beer_advocate_2380,rate_beer_1154
beer_advocate_2464,rate_beer_1207
beer_advocate_2547,rate_beer_1276
beer_advocate_3898,rate_beer_2208
beer_advocate_0460,rate_beer_2560
beer_advocate_0801,rate_beer_2855
beer_advocate_3144,rate_beer_1693
beer_advocate_0599,rate_beer_2689
beer_advocate_0058,rate_beer_2291
beer_advocate_3728,rate_beer_2100
beer_advocate_1451,rate_beer_0405
beer_advocate_4016,rate_beer_1912
beer_advocate_1441,rate_beer_0395
beer_advocate_1189,rate_beer_0185
beer_advocate_2924,rate_beer_1544
beer_advocate_1788,rate_beer_0693
beer_advocate_3327,rate_beer_1823
beer_advocate_0773,rate_beer_1955
beer_advocate_0964,rate_beer_2985
beer_advocate_3003,rate_beer_1548
beer_advocate_3085,rate_beer_1655
beer_advocate_1130,rate_beer_0128
beer_advocate_2764,rate_beer_1423
beer_advocate_2171,rate_beer_0991
beer_advocate_3230,rate_beer_0121
beer_advocate_1122,rate_beer_1595
beer_advocate_0026,rate_beer_1421
beer_advocate_0387,rate_beer_2210
beer_advocate_0244,rate_beer_1211
beer_advocate_2943,rate_beer_1558
beer_advocate_1209,rate_beer_0205
beer_advocate_0018,rate_beer_0284
beer_advocate_3016,rate_beer_1604
beer_advocate_3712,rate_beer_2086
beer_advocate_1399,rate_beer_1423
beer_advocate_0388,rate_beer_2220
beer_advocate_1204,rate_beer_0200
beer_advocate_0373,rate_beer_1415
beer_advocate_4003,rate_beer_2284
beer_advocate_1925,rate_beer_0804
beer_advocate_1692,rate_beer_0608
beer_advocate_3013,rate_beer_1602
beer_advocate_1758,rate_beer_1766
beer_advocate_1601,rate_beer_0531
beer_advocate_2095,rate_beer_0930
beer_advocate_0827,rate_beer_2879
beer_advocate_2694,rate_beer_1377
beer_advocate_1515,rate_beer_0459
beer_advocate_0539,rate_beer_2412
beer_advocate_1392,rate_beer_0356
beer_advocate_1070,rate_beer_0078
beer_advocate_0854,rate_beer_2899
beer_advocate_0759,rate_beer_2817
beer_advocate_3770,rate_beer_2129
beer_advocate_0534,rate_beer_2637
beer_advocate_1847,rate_beer_0740
beer_advocate_0280,rate_beer_1667
beer_advocate_0994,rate_beer_0013
beer_advocate_1822,rate_beer_0722
beer_advocate_4065,rate_beer_2339
beer_advocate_3147,rate_beer_1696
beer_advocate_4297,rate_beer_2504
beer_advocate_3359,rate_beer_1841
beer_advocate_2953,rate_beer_1567
beer_advocate_3303,rate_beer_1810
beer_advocate_3383,rate_beer_1861
beer_advocate_3073,rate_beer_1647
beer_advocate_2223,rate_beer_1032
beer_advocate_4159,rate_beer_2407
beer_advocate_3932,rate_beer_2235
beer_advocate_3825,rate_beer_2163
beer_advocate_2440,rate_beer_1191
beer_advocate_1923,rate_beer_0802
beer_advocate_0731,rate_beer_2793
beer_advocate_2868,rate_beer_1494
beer_advocate_0794,rate_beer_2848
beer_advocate_0133,rate_beer_0326
beer_advocate_1422,rate_beer_0379
beer_advocate_2110,rate_beer_0942
beer_advocate_4067,rate_beer_2333
beer_advocate_2572,rate_beer_1297
beer_advocate_1046,rate_beer_0058
beer_advocate_0338,rate_beer_1881
beer_advocate_0479,rate_beer_2575
beer_advocate_1019,rate_beer_0034
beer_advocate_0564,rate_beer_0969
beer_advocate_2147,rate_beer_0973
beer_advocate_1446,rate_beer_0400
beer_advocate_2225,rate_beer_1034
beer_advocate_0216,rate_beer_1002
beer_advocate_0312,rate_beer_1703
beer_advocate_1594,rate_beer_0524
beer_advocate_3721,rate_beer_2093
beer_advocate_2463,rate_beer_1206
beer_advocate_1017,rate_beer_0033
beer_advocate_3585,rate_beer_0190
beer_advocate_1758,rate_beer_0395
beer_advocate_1360,rate_beer_0325
beer_advocate_1481,rate_beer_0432
beer_advocate_0451,rate_beer_2553
beer_advocate_0745,rate_beer_2803
beer_advocate_3831,rate_beer_2168
beer_advocate_3143,rate_beer_1692
beer_advocate_0680,rate_beer_2749
beer_advocate_4151,rate_beer_2400
beer_advocate_1232,rate_beer_0223
beer_advocate_3718,rate_beer_2067
beer_advocate_1114,rate_beer_1319
beer_advocate_0489,rate_beer_2585
beer_advocate_3883,rate_beer_2199
beer_advocate_0211,rate_beer_0961
beer_advocate_0993,rate_beer_0012
beer_advocate_0560,rate_beer_2658
beer_advocate_3272,rate_beer_1788
beer_advocate_0853,rate_beer_2898
beer_advocate_0858,rate_beer_2444
beer_advocate_1034,rate_beer_0048
beer_advocate_3124,rate_beer_1678
beer_advocate_1596,rate_beer_0526
beer_advocate_3217,rate_beer_1743
beer_advocate_2328,rate_beer_1114
beer_advocate_1934,rate_beer_0811
beer_advocate_3568,rate_beer_1984
beer_advocate_2605,rate_beer_1318
beer_advocate_2775,rate_beer_1432
beer_advocate_0888,rate_beer_2927
beer_advocate_0979,rate_beer_2996
beer_advocate_0903,rate_beer_2851
beer_advocate_0259,rate_beer_1331
beer_advocate_2760,rate_beer_1419
beer_advocate_4317,rate_beer_2520
beer_advocate_1765,rate_beer_0670
beer_advocate_0492,rate_beer_0218
beer_advocate_3623,rate_beer_0584
beer_advocate_1745,rate_beer_0650
beer_advocate_1069,rate_beer_0077
beer_advocate_3464,rate_beer_1918
beer_advocate_1722,rate_beer_0631
beer_advocate_4309,rate_beer_2514
beer_advocate_3455,rate_beer_1911
beer_advocate_0335,rate_beer_0996
beer_advocate_3308,rate_beer_1813
beer_advocate_3452,rate_beer_1907
beer_advocate_0554,rate_beer_2652
beer_advocate_3071,rate_beer_1646
beer_advocate_1865,rate_beer_0755
beer_advocate_3312,rate_beer_1815
beer_advocate_0179,rate_beer_0718
beer_advocate_0549,rate_beer_2648
beer_advocate_1990,rate_beer_0856
beer_advocate_2392,rate_beer_1158
beer_advocate_0363,rate_beer_2047
beer_advocate_1363,rate_beer_0329
beer_advocate_0318,rate_beer_1744
beer_advocate_0161,rate_beer_0563
beer_advocate_1131,rate_beer_0129
beer_advocate_1966,rate_beer_0839
beer_advocate_2058,rate_beer_0109
beer_advocate_3216,rate_beer_1741
beer_advocate_2134,rate_beer_0962
beer_advocate_1132,rate_beer_0131
beer_advocate_3850,rate_beer_2179
beer_advocate_2372,rate_beer_1146
beer_advocate_2116,rate_beer_0948
beer_advocate_1637,rate_beer_0561
beer_advocate_0130,rate_beer_0290
beer_advocate_3458,rate_beer_1178
beer_advocate_4116,rate_beer_2372
beer_advocate_0717,rate_beer_2780
beer_advocate_4118,rate_beer_2373
beer_advocate_0990,rate_beer_0009
beer_advocate_1050,rate_beer_0061
beer_advocate_0641,rate_beer_2686
beer_advocate_0710,rate_beer_2775
beer_advocate_4181,rate_beer_2428
beer_advocate_4075,rate_beer_2339
beer_advocate_1283,rate_beer_0265
beer_advocate_1197,rate_beer_0193
beer_advocate_3401,rate_beer_1873
beer_advocate_2873,rate_beer_1499
beer_advocate_0565,rate_beer_2662
beer_advocate_3870,rate_beer_2193
beer_advocate_2364,rate_beer_1138
beer_advocate_0051,rate_beer_2632
beer_advocate_0058,rate_beer_1912
beer_advocate_0466,rate_beer_2564
beer_advocate_1313,rate_beer_0286
beer_advocate_1205,rate_beer_2036
beer_advocate_2845,rate_beer_1475
beer_advocate_0995,rate_beer_0014
beer_advocate_0014,rate_beer_0929
beer_advocate_2080,rate_beer_0920
beer_advocate_1646,rate_beer_0961
beer_advocate_0883,rate_beer_2001
beer_advocate_0059,rate_beer_2813
beer_advocate_3844,rate_beer_2175
beer_advocate_3734,rate_beer_2103
beer_advocate_1042,rate_beer_0055
beer_advocate_3254,rate_beer_1773
beer_advocate_1137,rate_beer_0135
beer_advocate_1167,rate_beer_0165
beer_advocate_1388,rate_beer_0351
beer_advocate_1081,rate_beer_0089
beer_advocate_0724,rate_beer_2787
beer_advocate_0468,rate_beer_2566
beer_advocate_0398,rate_beer_2627
beer_advocate_2317,rate_beer_1104
beer_advocate_4263,rate_beer_2484
beer_advocate_2643,rate_beer_1342
beer_advocate_0497,rate_beer_2601
beer_advocate_1863,rate_beer_0221
beer_advocate_0594,rate_beer_2373
beer_advocate_1115,rate_beer_0116
beer_advocate_1171,rate_beer_0169
beer_advocate_1102,rate_beer_0106
beer_advocate_4271,rate_beer_2488
beer_advocate_0057,rate_beer_0488
beer_advocate_3190,rate_beer_1622
beer_advocate_0152,rate_beer_2332
beer_advocate_0296,rate_beer_1594
beer_advocate_3448,rate_beer_1904
beer_advocate_0975,rate_beer_2993
beer_advocate_2657,rate_beer_1349
beer_advocate_0459,rate_beer_2559
beer_advocate_1727,rate_beer_0635
beer_advocate_2644,rate_beer_1791
beer_advocate_0620,rate_beer_2704
beer_advocate_2243,rate_beer_1049
beer_advocate_1999,rate_beer_0864
beer_advocate_3722,rate_beer_2094
beer_advocate_1977,rate_beer_2106
beer_advocate_4290,rate_beer_2498
beer_advocate_2963,rate_beer_0149
beer_advocate_0906,rate_beer_2750
beer_advocate_0948,rate_beer_2972
beer_advocate_2803,rate_beer_1448
beer_advocate_1794,rate_beer_0698
beer_advocate_4157,rate_beer_2405
beer_advocate_2923,rate_beer_1543
beer_advocate_2930,rate_beer_0342
beer_advocate_3027,rate_beer_1615
beer_advocate_1222,rate_beer_0214
beer_advocate_3006,rate_beer_1597
beer_advocate_0978,rate_beer_2995
beer_advocate_1065,rate_beer_0075
beer_advocate_2287,rate_beer_1084
beer_advocate_2145,rate_beer_0972
beer_advocate_4042,rate_beer_1912
beer_advocate_0701,rate_beer_2768
beer_advocate_2904,rate_beer_1525
beer_advocate_2876,rate_beer_1502
beer_advocate_0028,rate_beer_1573
beer_advocate_0771,rate_beer_2825
beer_advocate_1273,rate_beer_0255
beer_advocate_1135,rate_beer_0134
beer_advocate_0264,rate_beer_1363
beer_advocate_1721,rate_beer_0630
beer_advocate_0500,rate_beer_2379
beer_advocate_0225,rate_beer_1080
beer_advocate_3800,rate_beer_2146
beer_advocate_1919,rate_beer_0798
beer_advocate_3384,rate_beer_1862
beer_advocate_0064,rate_beer_2732
beer_advocate_1311,rate_beer_0285
beer_advocate_2379,rate_beer_1153
beer_advocate_3579,rate_beer_1991
beer_advocate_3624,rate_beer_1945
beer_advocate_2363,rate_beer_1137
beer_advocate_1816,rate_beer_0717
beer_advocate_1210,rate_beer_0206
beer_advocate_0041,rate_beer_2535
beer_advocate_4179,rate_beer_2427
beer_advocate_4137,rate_beer_2388
