#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.Label
#foreign_key_rtable=rtable.Label
#ltable=POINTER
_id,ltable.Label,rtable.Label,ltable.BeerName,rtable.BeerName,gold
48,A102,B11,Alaskan Imperial Red Ale (Pilot Series),Lagunitas Imperial Red Ale,0
86,A102,B319,Alaskan Imperial Red Ale (Pilot Series),Swamp Head Sciaenhops Imperial Red Ale,0
91,A102,B384,Alaskan Imperial Red Ale (Pilot Series),BottleTree Imperial Red Ale,0
101,A1021,B1021,Indian Red Head,Catawba Valley Indian Head Red,1
118,A1039,B799,Olde Richmond Batch No. 9 Red Ale,Engine House No. 9 Rowdy Dick Amber Ale,0
121,A1041,B1041,Rocket City Red,Sawdust City Red Rocket Coffee Spiced Stout,0
127,A1047,B1047,Sierra Amber Ale,Chy_e Sierra Amber Ale,1
129,A1047,B1799,Sierra Amber Ale,Sierra Andina Alpamayo Amber Ale,0
135,A1059,B1059,Legends Of The Bay Giant's Tomb,Legends of the Bay Giant_s Tomb,1
137,A1059,B2770,Legends Of The Bay Giant's Tomb,Legends of the Bay Ghosts of Hope Island,0
163,A1077,B2523,46 Star Oklahoma Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,0
191,A11,B2045,Lagunitas Imperial Red Ale,Sick N Twisted Naughty Redhead Imperial Red Ale,0
221,A11,B666,Lagunitas Imperial Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,0
222,A11,B848,Lagunitas Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,0
267,A1136,B766,Iron Mike's Amber Ale,Railway City Iron Spike Amber Ale,0
308,A116,B1551,Alexander Keith's Red Amber Ale,Hollywood Beach Red Tide Amber Ale,0
321,A116,B969,Alexander Keith's Red Amber Ale,Swashbuckler Red Sea Amber Ale,0
347,A1175,B1175,Insane Mane Red Ale,White Lion Insane Mane Red Ale,1
381,A1196,B1817,Brewmaster's Reserve Imperial Red Ale,Rusty Truck Stupiphany Imperial Red Ale,0
390,A1196,B2559,Brewmaster's Reserve Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
391,A1196,B2788,Brewmaster's Reserve Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,0
403,A1196,B3472,Brewmaster's Reserve Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,0
435,A1203,B989,Dread Double Red Ale,Wildcard Double Down Imperial Red Ale,0
450,A1225,B1654,All American Red Ale,Saimaan Brewer_s Special American Red Ale,0
454,A1225,B3054,All American Red Ale,Stadin American Red Ale,0
494,A1236,B2834,Bourbon Barrel Aged Horus Imperial Red,Riverbend Barrel Aged Right Said Red,0
504,A1236,B4288,Bourbon Barrel Aged Horus Imperial Red,Lompoc Bourbon Barrel Aged Old Tavern Rat,0
507,A1236,B524,Bourbon Barrel Aged Horus Imperial Red,Legacy Bourbon Barrel Hedonism Red,0
514,A1237,B1854,Bulleit Bourbon Barrel Aged G'Knight,MadTree Bourbon Barrel Aged Happy Amber,0
520,A1237,B4288,Bulleit Bourbon Barrel Aged G'Knight,Lompoc Bourbon Barrel Aged Old Tavern Rat,0
521,A1237,B4299,Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Bourbon Barrel Aged Jumbo Love,0
527,A124,B124,American Red Ale,Americas American Red Ale,1
583,A1244,B3502,Red Dragon Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,0
629,A1255,B3431,Crater Lake Amber Ale,Flathead Lake Dock Start Amber Ale,0
641,A1267,B1684,San Marcos Red Amber Ale,Fish Rock Red Emperor Amber Ale,0
660,A1269,B1959,Big Red Ale,Big Bear Lake Sidewinder Red Ale,0
678,A1299,B1824,Blood On The Blade Red IPA,Bacchus / Burrow Bloodhound Blood Red IPA,0
688,A1307,B53,Mad Anthony Muddy River Amber Ale,Mad River Jamaica Red Ale,0
702,A132,B2523,The Unforgiven Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,0
716,A1340,B2621,The Live Bait Amber Ale,BNS The Hills Have Eyes Amber Ale,0
767,A1394,B516,Clifford The Big Red Ale,Big Choice Disconnected Red Ale,0
809,A1413,B1413,Hooligan Amber Ale,Bentley Hooligan Amber Ale,1
840,A143,B11,Double Dread Imperial Red Ale,Lagunitas Imperial Red Ale,0
849,A143,B176,Double Dread Imperial Red Ale,406 Imperial Red Ale,0
862,A143,B2559,Double Dread Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
865,A143,B2906,Double Dread Imperial Red Ale,Kinetic Infrared Imperial Red Ale,0
869,A143,B3094,Double Dread Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,0
870,A143,B31,Double Dread Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale,0
907,A1452,B1484,Molly American Red Ale,Genesee Brew House American Red Ale,0
912,A1452,B2565,Molly American Red Ale,Big Time Lift Ticket American Red Ale,0
924,A1455,B2295,Mountian Goat Rare Breed India Red Ale,Hammond River Red Coat India Red Ale,0
945,A146,B589,Aorta Ale (Double Red Ale),Destihl Barrel Aged Deadhead Double Red Ale,0
946,A146,B989,Aorta Ale (Double Red Ale),Wildcard Double Down Imperial Red Ale,0
959,A1475,B1475,Barbarian Red Ale,Barbarian Red Ale,1
972,A1477,B176,Deranger Imperial Red Ale,406 Imperial Red Ale,0
983,A1477,B2788,Deranger Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,0
985,A1477,B2906,Deranger Imperial Red Ale,Kinetic Infrared Imperial Red Ale,0
988,A1477,B2971,Deranger Imperial Red Ale,Ale Mania Imperial Red Ale,0
992,A1477,B3167,Deranger Imperial Red Ale,Brannon_s Deputation Imperial Red Ale,0
1007,A1479,B1479,Eldred Rock Amber,Haines Eldred Rock Amber,1
1016,A1485,B2171,Texas Red Amber Ale,William Street Red Sky Amber Ale,0
1032,A1490,B2433,Mount Washington Organic Amber Ale,Outpost Mr. Grain Jeans Organic Amber Ale,0
1034,A1493,B1493,Revenuers Red Ale,Catawba Valley Revenuers Red Ale,1
1036,A1498,B2986,Twisted Stick Amber Ale,Sick N Twisted Pleasure Victim Amber Ale,0
1056,A1510,B2025,Fresh Hopped Harvest Ale,10 Barrel Crosby Farms Harvest Fresh Hop Ale,0
1082,A1520,B692,Big Bear Amber Ale,Big Horn Buttface Amber Ale,0
1099,A1534,B1838,Frog Island Amber Ale,Heavy Seas Desert Island Series American Honey Amber Ale,0
1110,A1541,B1541,Radeau Red Ale,Coopers Cave Radeau Red Ale,1
1114,A1543,B1327,Barrel Aged Red Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,0
1122,A1543,B2834,Barrel Aged Red Ale,Riverbend Barrel Aged Right Said Red,0
1125,A1543,B3171,Barrel Aged Red Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,0
1192,A1606,B2906,Arthur's Imperial Red Ale,Kinetic Infrared Imperial Red Ale,0
1194,A1606,B2951,Arthur's Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,0
1203,A1606,B3502,Arthur's Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,0
1225,A1618,B969,Sea Spray Amber Ale,Swashbuckler Red Sea Amber Ale,0
1234,A1623,B124,Morrisons American Red Ale,Americas American Red Ale,0
1305,A1641,B1010,Red Rocket Amber Ale,Red Duck Amber Ale,0
1309,A1641,B1641,Red Rocket Amber Ale,Third Base Red Rocket Amber Ale,1
1317,A1641,B3419,Red Rocket Amber Ale,Blue Cat Red Toad Amber Ale,0
1321,A1641,B506,Red Rocket Amber Ale,Liberty Street Red Glare Amber Ale,0
1369,A1667,B4216,Wasatch 50th Park City Golden Anniversary Ale,Golden City Centurion Barleywine Ale,0
1370,A1668,B1668,Rip Saw Red,Pints Rip Saw Red,1
1398,A1669,B4093,Bourbon Barrel Aged Panama Red Ale,AleSmith Old Numbskull - Bourbon Barrel Aged,0
1416,A1681,B1407,Barrel Aged Imperial Red,Imperial Oak Barrel Aged Odin_s Beard,0
1419,A1681,B2431,Barrel Aged Imperial Red,Intuition Barrel Aged Riverside Red,0
1422,A1681,B2806,Barrel Aged Imperial Red,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,0
1443,A1684,B269,Red Emperor Amber Ale,Fox and Hound Red Fox Amber Ale,0
1455,A1693,B1693,River Otter Ale,Sacramento River Otter Ale,1
1487,A172,B1748,Red Rock Amber Ale,Slanted Rock Iron Butt Red Ale,0
1497,A172,B2716,Red Rock Amber Ale,Elk Mountain Rock Slide Amber Ale,0
1525,A1734,B1643,Rabbit Punch Irish Red Ale,300 Suns Rabbit Mountain Red Ale,0
1543,A1746,B1485,Big V Amber Ale,Big Texan Texas Red Amber Ale,0
1544,A1746,B1520,Big V Amber Ale,Big Bear Mountain Orange Blossom Amber Ale,0
1549,A1746,B2728,Big V Amber Ale,Heinzelmannchen Big Amber Gnome Ale,0
1552,A1746,B3996,Big V Amber Ale,Big Axe Maple Wheat Amber Ale,0
1579,A176,B2242,Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,0
1621,A1764,B1706,Red's Heaven 15th Anniversary Imperial Red Ale,Knee Deep McCarthy_s Bane Imperial Red Ale,0
1655,A1764,B412,Red's Heaven 15th Anniversary Imperial Red Ale,Austin Beerworks Battle Axe Imperial Red Ale,0
1661,A1769,B1769,Rock Steady Red,Acoustic Rock Steady Red Cider,1
1694,A1777,B2971,Batch 200 _ Olympus Mons Imperial Red Ale,Ale Mania Imperial Red Ale,0
1695,A1777,B3094,Batch 200 _ Olympus Mons Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,0
1697,A1777,B3138,Batch 200 _ Olympus Mons Imperial Red Ale,Edge Imperial Red Ale &#40;Spring Seasonal&#41;,0
1711,A1777,B848,Batch 200 _ Olympus Mons Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,0
1732,A1803,B1803,Jazz Beer Tarraco Amber,Jazz Beer Tarraco Amber,1
1771,A1817,B2045,Stupiphany Imperial Red Ale,Sick N Twisted Naughty Redhead Imperial Red Ale,0
1795,A1817,B36,Stupiphany Imperial Red Ale,AleSmith YuleSmith &#40;Winter&#41; Imperial Red Ale,0
1822,A183,B199,6th Anniversary Ale (Dirty Hippie Imperial Red Ale),Brew Bus Detour Series: Rollin Dirty Red Ale - Wood Aged,0
1827,A183,B2344,6th Anniversary Ale (Dirty Hippie Imperial Red Ale),Tumbledown Imp Imperial Red Ale,0
1837,A183,B2951,6th Anniversary Ale (Dirty Hippie Imperial Red Ale),Two Brothers Revelry Imperial Red Ale,0
1882,A1838,B566,Desert Island Series: American Honey Amber Ale,Granville Island Gastown Amber Ale,0
1936,A1865,B1865,Heatwave Red Ale,La Quinta Brewing Co. Heatwave Red Ale,1
1938,A1873,B1873,Royal Amber Ale,Kalamazoo Royal Amber Ale,1
1943,A1880,B1634,Ruby River Ruby Red Ale,Pine Creek River Valley Red Ale,0
