_id,name,color,fuel,year,km,city,owner,price
bikedekho_0000,Royal Enfield Bullet Electra Twinspark,black,Petrol,2015,900,Delhi,FirstOwner,110000
bikedekho_0001,Royal Enfield Thunderbird 350,black,Petrol,2013,15000,Mumbai,FirstOwner,110000
bikedekho_0002,Royal Enfield Bullet 350,grey,Petrol,1984,50000,Mumbai,FifthOwner,110000
bikedekho_0003,KTM Duke 200,white,Petrol,2014,13000,Mumbai,FirstOwner,100000
bikedekho_0004,Yamaha YZF R15 Version 2.0,red,Petrol,2013,28000,Mumbai,FirstOwner,70000
bikedekho_0005,Yamaha YZF R15 Version 2.0,red,Petrol,2012,40000,Mumbai,FirstOwner,74000
bikedekho_0006,Hero Honda Passion Plus,red,Petrol,2002,80000,Mumbai,SecondOwner,14000
bikedekho_0007,Yamaha YZF R15 Version 2.0,black,Petrol,2013,15000,Mumbai,SecondOwner,73000
bikedekho_0008,Honda CBR 250R Standard,red,Petrol,2012,14000,Mumbai,FirstOwner,110000
bikedekho_0009,Bajaj Pulsar 180cc Dtsi,blue,Petrol,2008,40000,Mumbai,FirstOwner,21999
bikedekho_0010,Yamaha Gladiator Ss,red,Petrol,2008,60000,Mumbai,SecondOwner,19000
bikedekho_0011,Suzuki Gs150r,blue,Petrol,2010,50000,Mumbai,SecondOwner,22000
bikedekho_0012,Honda CBR 250R Standard,black,Petrol,2014,10000,Mumbai,FirstOwner,150000
bikedekho_0013,Yamaha RXZ STD,blue,Petrol,1997,58000,Mumbai,SecondOwner,32000
bikedekho_0014,Bajaj Pulsar 135,red,Petrol,2010,36626,Delhi,FirstOwner,23000
bikedekho_0015,KTM Duke 200,black,Petrol,2014,9200,Delhi,FirstOwner,110000
bikedekho_0016,Bajaj Caliber 115,blue,Petrol,2003,60000,Delhi,FirstOwner,14000
bikedekho_0017,Bajaj Pulsar 150cc Dtsi,black,Petrol,2007,22000,Delhi,FirstOwner,24000
bikedekho_0018,Bajaj Pulsar 150cc Dtsi,silver,Petrol,2006,40000,Delhi,SecondOwner,14500
bikedekho_0019,Bajaj Platina 100 Alloy Wheel KS,black,Petrol,2010,19700,Delhi,SecondOwner,24000
bikedekho_0020,Bajaj Pulsar 135,red,Petrol,2011,65000,Delhi,FirstOwner,28000
bikedekho_0021,Bajaj Pulsar 220F Dtsi,black,Petrol,2012,14000,Delhi,FirstOwner,50000
bikedekho_0022,Bajaj Pulsar 180cc Dtsi,blue,Petrol,2008,50000,Delhi,FirstOwner,29999
bikedekho_0023,Bajaj Pulsar 150cc Dtsi,black,Petrol,2007,43000,Delhi,FirstOwner,16000
bikedekho_0024,Bajaj Pulsar 150cc Dtsi,blue,Petrol,2003,70000,Delhi,SecondOwner,12000
bikedekho_0025,Bajaj Avenger 180,grey,Petrol,2006,41000,Delhi,FirstOwner,30000
bikedekho_0026,Bajaj Pulsar 135,black,Petrol,2014,16000,Delhi,FirstOwner,59000
bikedekho_0027,Bajaj Pulsar 200 SS,red,Petrol,2009,70000,Delhi,SecondOwner,34000
bikedekho_0028,Bajaj Pulsar 150cc Dtsi,black,Petrol,2013,30000,Delhi,FirstOwner,58000
bikedekho_0029,Bajaj Caliber 115,green,Petrol,2002,45000,Delhi,FirstOwner,9000
bikedekho_0030,Hero Honda Karizma Zmr Pgm Fi,red,Petrol,2010,44000,Delhi,SecondOwner,39000
bikedekho_0031,Hero Honda Passion Plus,black,Petrol,2005,63000,Delhi,SecondOwner,16000
bikedekho_0032,Hero Honda Splendor Plus,black,Petrol,2007,35000,Delhi,SecondOwner,21999
bikedekho_0033,Hero MotoCorp Passion Pro Self Drum Alloy,black,Petrol,2013,17000,Delhi,FirstOwner,39000
bikedekho_0034,Hero Honda CBZ Disc,black,Petrol,2002,58000,Delhi,FirstOwner,15000
bikedekho_0035,Hero Honda Cbz Xtreme Self Start,red,Petrol,2010,60000,Delhi,SecondOwner,21000
bikedekho_0036,Hero Honda Glamour,black,Petrol,2010,45000,Delhi,SecondOwner,23000
bikedekho_0037,Hero Honda Splendor Pro,black,Petrol,2011,32000,Delhi,FirstOwner,30000
bikedekho_0038,Hero Honda Karizma Zmr Pgm Fi,black,Petrol,2010,37000,Delhi,SecondOwner,34000
bikedekho_0039,Hero Honda Cbz Xtreme Self Start,black,Petrol,2006,60000,Delhi,FirstOwner,16000
bikedekho_0040,Hero Motocorp Passion Xpro Disc Self Cast,black,Petrol,2014,6500,Delhi,FirstOwner,55000
bikedekho_0041,Hero Honda Splendor Plus,black,Petrol,2013,7350,Delhi,FirstOwner,38000
bikedekho_0042,Hero Honda Splendor Pro,black,Petrol,2012,15000,Delhi,FirstOwner,39000
bikedekho_0043,Hero Motocorp Ignitor 125 Disc,white,Petrol,2015,74,Delhi,FirstOwner,50000
bikedekho_0044,Honda Unicorn Spoke,silver,Petrol,2005,60000,Delhi,FirstOwner,14500
bikedekho_0045,Royal Enfield Bullet Electra Twinspark,silver,Petrol,2010,19250,Delhi,SecondOwner,84999
bikedekho_0046,Royal Enfield Classic 350,maroon,Petrol,2011,38000,Delhi,FirstOwner,90000
bikedekho_0047,Royal Enfield Classic 500,maroon,Petrol,2011,16350,Delhi,FirstOwner,110000
bikedekho_0048,Royal Enfield Thunderbird 350,silver,Petrol,2010,11000,Delhi,FirstOwner,89000
bikedekho_0049,Royal Enfield Classic Chrome,silver,Petrol,2012,22000,Delhi,FirstOwner,140000
bikedekho_0050,TVS Apache RTR 160,grey,Petrol,2014,20000,Delhi,FirstOwner,64000
bikedekho_0051,TVS Star City Spoke,black,Petrol,2007,48000,Delhi,FirstOwner,15000
bikedekho_0052,Hero Honda Karizma Zmr Pgm Fi,white,Petrol,2012,24000,Delhi,FirstOwner,60000
bikedekho_0053,Yamaha FZ S,black,Petrol,2013,11850,Delhi,FirstOwner,48000
bikedekho_0054,Mahindra Centuro NXT,black,Petrol,2014,8500,Delhi,FirstOwner,39000
bikedekho_0055,Yamaha FZ S,red,Petrol,2013,26000,Delhi,FirstOwner,58000
