l_id,r_id,label
bikedekho_0034,bikewale_6875,0
bikedekho_0036,bikewale_7802,0
bikedekho_0041,bikewale_5880,1
bikedekho_0058,bikewale_5428,0
bikedekho_0060,bikewale_7069,1
bikedekho_0156,bikewale_0389,1
bikedekho_0167,bikewale_5531,1
bikedekho_0167,bikewale_6669,0
bikedekho_0231,bikewale_8324,0
bikedekho_0248,bikewale_2588,0
bikedekho_0248,bikewale_3652,0
bikedekho_0248,bikewale_8442,0
bikedekho_0250,bikewale_7452,0
bikedekho_0279,bikewale_8865,1
bikedekho_0355,bikewale_5442,0
bikedekho_0367,bikewale_2628,1
bikedekho_0378,bikewale_1423,1
bikedekho_0398,bikewale_6244,0
bikedekho_0400,bikewale_3355,0
bikedekho_0400,bikewale_5061,0
bikedekho_0400,bikewale_8403,0
bikedekho_0469,bikewale_1625,0
bikedekho_0472,bikewale_3797,0
bikedekho_0519,bikewale_4592,0
bikedekho_0520,bikewale_2486,0
bikedekho_0528,bikewale_6639,0
bikedekho_0528,bikewale_8651,0
bikedekho_0539,bikewale_1330,0
bikedekho_0540,bikewale_1855,1
bikedekho_0564,bikewale_6066,0
bikedekho_0570,bikewale_1702,1
bikedekho_0570,bikewale_4080,1
bikedekho_0571,bikewale_7517,0
bikedekho_0573,bikewale_4405,0
bikedekho_0746,bikewale_0706,0
bikedekho_0747,bikewale_3635,0
bikedekho_0766,bikewale_5519,0
bikedekho_0773,bikewale_4037,0
bikedekho_0775,bikewale_6828,0
bikedekho_0811,bikewale_6898,0
bikedekho_0877,bikewale_4491,0
bikedekho_0888,bikewale_0628,0
bikedekho_0898,bikewale_7485,0
bikedekho_0908,bikewale_7043,1
bikedekho_0928,bikewale_2652,0
bikedekho_0990,bikewale_7810,1
bikedekho_1002,bikewale_3653,0
bikedekho_1038,bikewale_1455,0
bikedekho_1177,bikewale_7879,0
bikedekho_1177,bikewale_7894,0
bikedekho_1183,bikewale_6370,0
bikedekho_1209,bikewale_2275,0
bikedekho_1215,bikewale_8403,0
bikedekho_1222,bikewale_3041,0
bikedekho_1222,bikewale_4187,0
bikedekho_1236,bikewale_3407,0
bikedekho_1239,bikewale_0871,1
bikedekho_1298,bikewale_2267,0
bikedekho_1330,bikewale_0270,0
bikedekho_1363,bikewale_5530,0
bikedekho_1383,bikewale_4544,0
bikedekho_1412,bikewale_8047,0
bikedekho_1493,bikewale_8528,0
bikedekho_1497,bikewale_6335,0
bikedekho_1516,bikewale_6383,1
bikedekho_1538,bikewale_4414,0
bikedekho_1601,bikewale_6740,1
bikedekho_1603,bikewale_4328,0
bikedekho_1677,bikewale_6830,0
bikedekho_1679,bikewale_5817,0
bikedekho_1684,bikewale_7544,0
bikedekho_1701,bikewale_6078,0
bikedekho_1724,bikewale_8550,1
bikedekho_1731,bikewale_7069,0
bikedekho_1733,bikewale_6508,0
bikedekho_1801,bikewale_8608,0
bikedekho_1802,bikewale_2675,1
bikedekho_1805,bikewale_0846,0
bikedekho_1818,bikewale_7233,0
bikedekho_1822,bikewale_6066,0
bikedekho_1832,bikewale_6579,0
bikedekho_1937,bikewale_7171,0
bikedekho_1958,bikewale_0148,0
bikedekho_1974,bikewale_3797,0
bikedekho_2039,bikewale_4885,1
bikedekho_2078,bikewale_1220,1
bikedekho_2081,bikewale_2286,1
bikedekho_2081,bikewale_3481,1
bikedekho_2087,bikewale_5970,1
bikedekho_2152,bikewale_1217,1
bikedekho_2154,bikewale_0102,1
bikedekho_2182,bikewale_0821,0
bikedekho_2184,bikewale_7419,0
bikedekho_2189,bikewale_0046,1
bikedekho_2195,bikewale_8663,0
bikedekho_2203,bikewale_5376,0
bikedekho_2207,bikewale_5383,0
bikedekho_2207,bikewale_5979,0
bikedekho_2211,bikewale_5476,0
bikedekho_2215,bikewale_7471,1
bikedekho_2274,bikewale_4545,0
bikedekho_2336,bikewale_3193,1
bikedekho_2344,bikewale_1809,1
bikedekho_2348,bikewale_8784,0
bikedekho_2363,bikewale_6301,0
bikedekho_2416,bikewale_8261,1
bikedekho_2473,bikewale_3261,1
bikedekho_2477,bikewale_2582,0
bikedekho_2478,bikewale_0995,0
bikedekho_2479,bikewale_7337,1
bikedekho_2491,bikewale_6616,0
bikedekho_2498,bikewale_5968,0
bikedekho_2499,bikewale_8224,0
bikedekho_2507,bikewale_1939,0
bikedekho_2507,bikewale_4683,0
bikedekho_2545,bikewale_7118,0
bikedekho_2557,bikewale_1751,0
bikedekho_2557,bikewale_2795,0
bikedekho_2569,bikewale_4740,0
bikedekho_2588,bikewale_8753,0
bikedekho_2628,bikewale_6669,0
bikedekho_2654,bikewale_5139,1
bikedekho_2654,bikewale_6567,0
bikedekho_2661,bikewale_0827,1
bikedekho_2668,bikewale_6847,1
bikedekho_2673,bikewale_4459,0
bikedekho_2673,bikewale_8026,0
bikedekho_2767,bikewale_2001,0
bikedekho_2767,bikewale_3629,0
bikedekho_2769,bikewale_5391,0
bikedekho_2876,bikewale_3748,0
bikedekho_2877,bikewale_5104,1
bikedekho_2902,bikewale_6647,0
bikedekho_2903,bikewale_6026,1
bikedekho_2917,bikewale_1762,1
bikedekho_2926,bikewale_8919,0
bikedekho_2949,bikewale_7970,1
bikedekho_2950,bikewale_4353,1
bikedekho_2952,bikewale_2626,1
bikedekho_2969,bikewale_1858,0
bikedekho_2995,bikewale_8641,1
bikedekho_3061,bikewale_2280,0
bikedekho_3061,bikewale_5632,0
bikedekho_3066,bikewale_5268,1
bikedekho_3073,bikewale_3516,0
bikedekho_3073,bikewale_6467,0
bikedekho_3074,bikewale_5033,0
bikedekho_3120,bikewale_2476,0
bikedekho_3124,bikewale_4545,0
bikedekho_3126,bikewale_6580,0
bikedekho_3134,bikewale_5206,1
bikedekho_3176,bikewale_4202,1
bikedekho_3181,bikewale_7872,1
bikedekho_3184,bikewale_5468,0
bikedekho_3193,bikewale_3990,0
bikedekho_3193,bikewale_4812,0
bikedekho_3204,bikewale_3139,0
bikedekho_3204,bikewale_5917,0
bikedekho_3209,bikewale_5222,0
bikedekho_3251,bikewale_4797,0
bikedekho_3286,bikewale_1230,1
bikedekho_3322,bikewale_4422,1
bikedekho_3324,bikewale_5218,0
bikedekho_3339,bikewale_3629,0
bikedekho_3452,bikewale_3681,0
bikedekho_3454,bikewale_3109,0
bikedekho_3466,bikewale_8012,0
bikedekho_3467,bikewale_8105,0
bikedekho_3484,bikewale_0398,1
bikedekho_3484,bikewale_2437,1
bikedekho_3484,bikewale_2815,1
bikedekho_3505,bikewale_3171,0
bikedekho_3592,bikewale_2972,1
bikedekho_3600,bikewale_2925,0
bikedekho_3655,bikewale_6648,0
bikedekho_3672,bikewale_6670,0
bikedekho_3684,bikewale_4808,0
bikedekho_3693,bikewale_7886,0
bikedekho_3786,bikewale_7371,0
bikedekho_3848,bikewale_8536,0
bikedekho_3856,bikewale_8796,0
bikedekho_3871,bikewale_6410,0
bikedekho_3962,bikewale_4715,0
bikedekho_4016,bikewale_7909,0
bikedekho_4033,bikewale_3364,0
bikedekho_4040,bikewale_7763,0
bikedekho_4052,bikewale_5383,0
bikedekho_4052,bikewale_5979,0
bikedekho_4064,bikewale_7299,0
bikedekho_4079,bikewale_8667,1
bikedekho_4081,bikewale_3036,0
bikedekho_4081,bikewale_3148,0
bikedekho_4081,bikewale_5370,0
bikedekho_4215,bikewale_7358,0
bikedekho_4219,bikewale_4262,0
bikedekho_4228,bikewale_6883,1
bikedekho_4230,bikewale_1283,0
bikedekho_4234,bikewale_2253,1
bikedekho_4234,bikewale_8829,1
bikedekho_4240,bikewale_3088,1
bikedekho_4248,bikewale_0102,0
bikedekho_4293,bikewale_3322,0
bikedekho_4294,bikewale_6508,0
bikedekho_4300,bikewale_1624,1
bikedekho_4310,bikewale_3769,0
bikedekho_4327,bikewale_4242,1
bikedekho_4455,bikewale_6124,0
bikedekho_4457,bikewale_3278,0
bikedekho_4566,bikewale_3422,0
bikedekho_4568,bikewale_7007,0
bikedekho_4582,bikewale_6190,0
bikedekho_4587,bikewale_4814,0
bikedekho_4611,bikewale_6991,0
bikedekho_4616,bikewale_2815,1
bikedekho_0008,bikewale_1667,0
bikedekho_0126,bikewale_8497,1
bikedekho_0127,bikewale_6524,1
bikedekho_0134,bikewale_6786,1
bikedekho_0146,bikewale_1743,1
bikedekho_0146,bikewale_2396,1
bikedekho_0158,bikewale_6298,0
bikedekho_0160,bikewale_2357,1
bikedekho_0169,bikewale_4889,0
bikedekho_0176,bikewale_4190,0
bikedekho_0218,bikewale_1131,0
bikedekho_0318,bikewale_1077,0
bikedekho_0403,bikewale_5451,0
bikedekho_0411,bikewale_3050,0
bikedekho_0411,bikewale_6805,0
bikedekho_0415,bikewale_7256,0
bikedekho_0451,bikewale_4769,0
bikedekho_0453,bikewale_0321,1
bikedekho_0488,bikewale_8413,1
bikedekho_0494,bikewale_8830,0
bikedekho_0495,bikewale_6137,1
bikedekho_0591,bikewale_6524,1
bikedekho_0614,bikewale_2357,1
bikedekho_0629,bikewale_1143,0
bikedekho_0637,bikewale_6204,1
bikedekho_0641,bikewale_4900,0
bikedekho_0671,bikewale_6751,1
bikedekho_0673,bikewale_5283,1
bikedekho_0844,bikewale_0948,1
bikedekho_0845,bikewale_1125,0
bikedekho_0859,bikewale_2767,0
bikedekho_0872,bikewale_3253,0
bikedekho_0976,bikewale_6183,0
bikedekho_0976,bikewale_7125,1
bikedekho_1091,bikewale_8653,0
bikedekho_1094,bikewale_8677,1
bikedekho_1095,bikewale_8626,0
bikedekho_1141,bikewale_3985,0
bikedekho_1145,bikewale_4462,0
bikedekho_1145,bikewale_4850,0
bikedekho_1282,bikewale_3013,1
bikedekho_1288,bikewale_0008,0
bikedekho_1367,bikewale_2181,1
bikedekho_1374,bikewale_6354,0
bikedekho_1398,bikewale_5511,1
bikedekho_1452,bikewale_5752,0
bikedekho_1463,bikewale_8293,0
bikedekho_1466,bikewale_2289,0
bikedekho_1559,bikewale_8384,0
bikedekho_1561,bikewale_3004,0
bikedekho_1622,bikewale_7506,0
bikedekho_1626,bikewale_2191,0
bikedekho_1767,bikewale_5161,1
bikedekho_2037,bikewale_1827,0
bikedekho_2071,bikewale_5001,1
bikedekho_2071,bikewale_5331,1
bikedekho_2257,bikewale_5441,0
bikedekho_2320,bikewale_8537,1
bikedekho_2402,bikewale_1131,0
bikedekho_2406,bikewale_5803,1
bikedekho_2429,bikewale_2060,0
bikedekho_2750,bikewale_6866,0
bikedekho_2762,bikewale_8955,1
bikedekho_2797,bikewale_7460,0
bikedekho_2805,bikewale_8882,0
bikedekho_2928,bikewale_8070,0
bikedekho_3029,bikewale_1869,0
bikedekho_3034,bikewale_5058,0
bikedekho_3083,bikewale_3803,0
bikedekho_3088,bikewale_1376,0
bikedekho_3246,bikewale_2946,0
bikedekho_3377,bikewale_6518,0
bikedekho_3389,bikewale_4219,0
bikedekho_3564,bikewale_4888,0
bikedekho_3564,bikewale_8040,0
bikedekho_3571,bikewale_8762,1
bikedekho_3628,bikewale_0961,0
bikedekho_3633,bikewale_6491,0
bikedekho_3736,bikewale_3455,0
bikedekho_3741,bikewale_5953,0
bikedekho_3745,bikewale_2048,0
bikedekho_3748,bikewale_3263,0
bikedekho_3837,bikewale_0511,1
bikedekho_3945,bikewale_7704,0
bikedekho_3950,bikewale_2968,1
bikedekho_3972,bikewale_0511,0
bikedekho_3974,bikewale_8173,0
bikedekho_3977,bikewale_7460,0
bikedekho_4103,bikewale_7776,0
bikedekho_4109,bikewale_3306,1
bikedekho_4113,bikewale_3066,0
bikedekho_4323,bikewale_7150,0
bikedekho_4409,bikewale_3172,1
bikedekho_4414,bikewale_8240,0
bikedekho_4491,bikewale_8233,0
bikedekho_4494,bikewale_2516,1
bikedekho_4499,bikewale_5484,1
bikedekho_4501,bikewale_1987,0
bikedekho_4502,bikewale_8926,0
bikedekho_4506,bikewale_5185,0
bikedekho_4652,bikewale_1426,1
bikedekho_4719,bikewale_6694,1
bikedekho_4758,bikewale_7860,0
bikedekho_0064,bikewale_5795,1
bikedekho_0064,bikewale_8802,0
bikedekho_0080,bikewale_7217,1
bikedekho_0085,bikewale_6387,1
bikedekho_0100,bikewale_6549,0
bikedekho_0105,bikewale_7458,0
bikedekho_0106,bikewale_5466,0
bikedekho_0117,bikewale_3818,0
bikedekho_0117,bikewale_6929,0
bikedekho_0173,bikewale_3265,0
bikedekho_0190,bikewale_3353,0
bikedekho_0265,bikewale_8470,1
bikedekho_0296,bikewale_7121,0
bikedekho_0340,bikewale_4385,0
bikedekho_0437,bikewale_8149,0
bikedekho_0443,bikewale_5772,0
bikedekho_0461,bikewale_5253,0
bikedekho_0509,bikewale_7144,1
bikedekho_0662,bikewale_8379,1
bikedekho_0683,bikewale_5396,0
bikedekho_0687,bikewale_0569,1
bikedekho_0687,bikewale_1165,0
bikedekho_0723,bikewale_3257,1
bikedekho_0726,bikewale_6308,1
bikedekho_0736,bikewale_5657,0
bikedekho_0931,bikewale_4233,1
bikedekho_0931,bikewale_6303,0
bikedekho_0948,bikewale_7838,0
bikedekho_1014,bikewale_4872,0
bikedekho_1019,bikewale_5956,0
bikedekho_1021,bikewale_6512,0
bikedekho_1197,bikewale_6530,1
bikedekho_1198,bikewale_2522,1
bikedekho_1263,bikewale_8501,0
bikedekho_1338,bikewale_6392,0
bikedekho_1338,bikewale_7260,1
bikedekho_1477,bikewale_1658,0
bikedekho_1477,bikewale_1938,0
bikedekho_1535,bikewale_6207,0
bikedekho_1543,bikewale_7699,0
bikedekho_1564,bikewale_7826,0
bikedekho_1565,bikewale_3062,0
bikedekho_1565,bikewale_4893,0
bikedekho_1655,bikewale_4716,0
bikedekho_1661,bikewale_4878,1
bikedekho_1662,bikewale_1052,0
bikedekho_1747,bikewale_7441,0
bikedekho_1761,bikewale_6444,0
bikedekho_1840,bikewale_6399,0
bikedekho_1867,bikewale_8426,1
bikedekho_1874,bikewale_6034,0
bikedekho_1874,bikewale_7826,0
bikedekho_1875,bikewale_6034,0
bikedekho_1920,bikewale_7483,0
bikedekho_1933,bikewale_4587,1
bikedekho_1987,bikewale_2197,0
bikedekho_2048,bikewale_6384,1
