l_id,r_id
bikedekho_0041,bikewale_5880
bikedekho_0060,bikewale_7069
bikedekho_0156,bikewale_0389
bikedekho_0167,bikewale_5531
bikedekho_0279,bikewale_8865
bikedekho_0367,bikewale_2628
bikedekho_0378,bikewale_1423
bikedekho_0540,bikewale_1855
bikedekho_0570,bikewale_1702
bikedekho_0570,bikewale_4080
bikedekho_0908,bikewale_7043
bikedekho_0990,bikewale_7810
bikedekho_1239,bikewale_0871
bikedekho_1516,bikewale_6383
bikedekho_1601,bikewale_6740
bikedekho_1724,bikewale_8550
bikedekho_1802,bikewale_2675
bikedekho_2039,bikewale_4885
bikedekho_2078,bikewale_1220
bikedekho_2081,bikewale_2286
bikedekho_2081,bikewale_3481
bikedekho_2087,bikewale_5970
bikedekho_2152,bikewale_1217
bikedekho_2154,bikewale_0102
bikedekho_2189,bikewale_0046
bikedekho_2215,bikewale_7471
bikedekho_2336,bikewale_3193
bikedekho_2344,bikewale_1809
bikedekho_2416,bikewale_8261
bikedekho_2473,bikewale_3261
bikedekho_2479,bikewale_7337
bikedekho_2654,bikewale_5139
bikedekho_2661,bikewale_0827
bikedekho_2668,bikewale_6847
bikedekho_2877,bikewale_5104
bikedekho_2903,bikewale_6026
bikedekho_2917,bikewale_1762
bikedekho_2949,bikewale_7970
bikedekho_2950,bikewale_4353
bikedekho_2952,bikewale_2626
bikedekho_2995,bikewale_8641
bikedekho_3066,bikewale_5268
bikedekho_3134,bikewale_5206
bikedekho_3176,bikewale_4202
bikedekho_3181,bikewale_7872
bikedekho_3286,bikewale_1230
bikedekho_3322,bikewale_4422
bikedekho_3484,bikewale_0398
bikedekho_3484,bikewale_2437
bikedekho_3484,bikewale_2815
bikedekho_3592,bikewale_2972
bikedekho_4079,bikewale_8667
bikedekho_4228,bikewale_6883
bikedekho_4234,bikewale_2253
bikedekho_4234,bikewale_8829
bikedekho_4240,bikewale_3088
bikedekho_4300,bikewale_1624
bikedekho_4327,bikewale_4242
bikedekho_4616,bikewale_2815
bikedekho_0126,bikewale_8497
bikedekho_0127,bikewale_6524
bikedekho_0134,bikewale_6786
bikedekho_0146,bikewale_1743
bikedekho_0146,bikewale_2396
bikedekho_0160,bikewale_2357
bikedekho_0453,bikewale_0321
bikedekho_0488,bikewale_8413
bikedekho_0495,bikewale_6137
bikedekho_0591,bikewale_6524
bikedekho_0614,bikewale_2357
bikedekho_0637,bikewale_6204
bikedekho_0671,bikewale_6751
bikedekho_0673,bikewale_5283
bikedekho_0844,bikewale_0948
bikedekho_0976,bikewale_7125
bikedekho_1094,bikewale_8677
bikedekho_1282,bikewale_3013
bikedekho_1367,bikewale_2181
bikedekho_1398,bikewale_5511
bikedekho_1767,bikewale_5161
bikedekho_2071,bikewale_5001
bikedekho_2071,bikewale_5331
bikedekho_2320,bikewale_8537
bikedekho_2406,bikewale_5803
bikedekho_2762,bikewale_8955
bikedekho_3571,bikewale_8762
bikedekho_3837,bikewale_0511
bikedekho_3950,bikewale_2968
bikedekho_4109,bikewale_3306
bikedekho_4409,bikewale_3172
bikedekho_4494,bikewale_2516
bikedekho_4499,bikewale_5484
bikedekho_4652,bikewale_1426
bikedekho_4719,bikewale_6694
bikedekho_0064,bikewale_5795
bikedekho_0080,bikewale_7217
bikedekho_0085,bikewale_6387
bikedekho_0265,bikewale_8470
bikedekho_0509,bikewale_7144
bikedekho_0662,bikewale_8379
bikedekho_0687,bikewale_0569
bikedekho_0723,bikewale_3257
bikedekho_0726,bikewale_6308
bikedekho_0931,bikewale_4233
bikedekho_1197,bikewale_6530
bikedekho_1198,bikewale_2522
bikedekho_1338,bikewale_7260
bikedekho_1661,bikewale_4878
bikedekho_1867,bikewale_8426
bikedekho_1933,bikewale_4587
bikedekho_2048,bikewale_6384
bikedekho_2373,bikewale_2376
bikedekho_2597,bikewale_7472
bikedekho_2781,bikewale_6051
bikedekho_2832,bikewale_1975
bikedekho_2845,bikewale_4370
bikedekho_2866,bikewale_5674
bikedekho_3099,bikewale_5265
bikedekho_3154,bikewale_6781
bikedekho_3163,bikewale_4518
bikedekho_3343,bikewale_3307
bikedekho_3345,bikewale_4169
bikedekho_3533,bikewale_1745
bikedekho_3624,bikewale_3915
bikedekho_3702,bikewale_5648
bikedekho_4001,bikewale_4577
bikedekho_4364,bikewale_4757
bikedekho_4397,bikewale_5758
bikedekho_4401,bikewale_5930
bikedekho_4536,bikewale_2609
